fold,train_start,train_end,validation_start,validation_end,Model,MAE,RMSE,WAPE,sMAPE
1,2022-01-29,2023-04-15,2023-04-16,2023-07-11,Baseline,120.96344827586206,155.60801548364603,89.29956681671807,94.03120612850556
1,2022-01-29,2023-04-15,2023-04-16,2023-07-11,HistGradientBoosting,0.5642264273059695,0.8218907336983244,0.41653223567223463,2.0571034259810212
2,2022-01-29,2023-07-11,2023-07-12,2023-10-06,Baseline,121.37482758620689,155.14882695575602,88.77553336645725,93.69314585928402
2,2022-01-29,2023-07-11,2023-07-12,2023-10-06,HistGradientBoosting,0.5481552964410726,0.7934012445109145,0.4009297461175943,1.9547237878221702
3,2022-01-29,2023-10-06,2023-10-07,2024-01-01,Baseline,119.58781609195402,152.97731933160895,87.29689522919323,92.69940301133319
3,2022-01-29,2023-10-06,2023-10-07,2024-01-01,HistGradientBoosting,0.5441709285041336,0.779890471314111,0.39723471909438346,1.4991838808509212
