fold,train_start,train_end,validation_start,validation_end,Model,MAE,RMSE,WAPE,sMAPE
1,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000025,Baseline,118.35236111111111,151.11833341604995,87.02539466616012,91.43095233971111
1,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000025,HistGradientBoosting,0.5594839684729679,0.7945592981984089,0.41139283330426507,1.630474200034773
2,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000028,Baseline,123.04277777777777,158.36936607535912,88.75810903553197,92.53692018889168
2,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000028,HistGradientBoosting,0.5558724923880144,0.792543942297981,0.4009840494525885,1.5447060681406164
3,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000031,Baseline,119.28879310344827,153.08405905884203,87.66289301801088,92.65272325958992
3,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000031,HistGradientBoosting,0.5498020054399368,0.7790895881963855,0.4040382430742841,1.9694376703162166
